"index","starting","ending","total"
1,613,89851,89238
2,613,89851,89238
3,613,89851,89238
4,613,89851,89238
5,614,89858,89244
6,614,89858,89244
7,614,89858,89244
8,614,89858,89244
9,616,89863,89247
10,616,89863,89247
11,616,89863,89247
12,616,89863,89247
13,617,89998,89381
14,617,89998,89381
15,617,89998,89381
16,617,89998,89381
17,616,90280,89664
18,616,90280,89664
19,616,90280,89664
20,616,90280,89664
21,618,90146,89528
22,618,90146,89528
23,618,90146,89528
24,618,90146,89528
25,619,89921,89302
26,619,89921,89302
27,619,89921,89302
28,619,89921,89302
29,621,90241,89620
30,621,90241,89620
31,621,90241,89620
32,621,90241,89620
33,620,90607,89987
34,620,90355,89735
35,620,90588,89968
36,620,90355,89735
37,621,90527,89906
38,621,90527,89906
39,621,90527,89906
40,621,90527,89906
41,623,90687,90064
42,623,90687,90064
43,623,90687,90064
44,623,90687,90064
45,624,91160,90536
46,624,91160,90536
47,624,91160,90536
48,624,91160,90536
49,626,91814,91188
50,626,91814,91188
51,626,91814,91188
52,626,91814,91188
53,626,92607,91981
54,626,92607,91981
55,626,92607,91981
56,626,92607,91981
57,628,93287,92659
58,628,93287,92659
59,628,93287,92659
60,628,93287,92659
61,630,93919,93289
62,630,93919,93289
63,630,93919,93289
64,630,93919,93289
65,634,94922,94288
66,634,94922,94288
67,634,94922,94288
68,634,94922,94288
69,636,95998,95362
70,636,95998,95362
71,636,95998,95362
72,636,95998,95362
73,638,98161,97523
74,638,98161,97523
75,638,98161,97523
76,638,98161,97523
77,643,99004,98361
78,643,99004,98361
79,643,99004,98361
80,643,99004,98361
81,645,100443,99798
82,645,100443,99798
83,645,100443,99798
84,645,100443,99798
85,647,102468,101821
86,647,102468,101821
87,647,102468,101821
88,647,102468,101821
89,652,103755,103103
90,652,103755,103103
91,652,103755,103103
92,652,103755,103103
93,654,105653,104999
94,654,105653,104999
95,654,105653,104999
96,654,105653,104999
97,657,105680,105023
98,657,105680,105023
99,657,105680,105023
100,657,105680,105023
101,658,107353,106695
102,658,107353,106695
103,658,107353,106695
104,658,107353,106695
105,663,109548,108885
106,663,109548,108885
107,663,109548,108885
108,663,109548,108885
109,663,109048,108385
110,663,109048,108385
111,663,109048,108385
112,663,109048,108385
113,669,110272,109603
114,669,110272,109603
115,669,110272,109603
116,669,110272,109603
117,673,112096,111423
118,673,112096,111423
119,673,112096,111423
120,673,112096,111423
121,672,117568,116896
122,672,117568,116896
123,672,117568,116896
124,672,117568,116896
125,679,115291,114612
126,679,115291,114612
127,679,115291,114612
128,679,115291,114612
