"index","starting","ending","total"
1,9772470,9782274,9804
2,9164232,9174026,9794
3,9733964,9743766,9802
4,9238732,9248320,9588
5,9610596,9620196,9600
6,9787220,9796852,9632
7,9758574,9768176,9602
8,9763664,9773236,9572
9,9858238,9867812,9574
10,9828418,9837940,9522
11,9758200,9767766,9566
12,9846064,9855610,9546
13,9830716,9840240,9524
14,9857826,9867374,9548
15,9900536,9910064,9528
16,9787338,9796860,9522
17,9871060,9880636,9576
18,9826750,9836290,9540
19,9762472,9772060,9588
20,9842520,9852140,9620
21,9803602,9813308,9706
22,9802108,9811790,9682
23,9840718,9850408,9690
24,9819356,9829082,9726
25,9774142,9783898,9756
26,9866876,9876620,9744
27,9907214,9916950,9736
28,9786174,9795978,9804
29,9715556,9725326,9770
30,9797248,9807108,9860
31,9302262,9312056,9794
32,9763200,9773118,9918
33,8675216,8685806,10590
34,9666984,9677566,10582
35,9643548,9654116,10568
36,9191338,9201946,10608
37,9745306,9755938,10632
38,9842048,9852684,10636
39,9799698,9810332,10634
40,9802264,9812926,10662
41,8639274,8651946,12672
42,8739536,8752238,12702
43,9792190,9804806,12616
44,9807284,9819914,12630
45,8695478,8708172,12694
46,9807648,9820342,12694
47,9779068,9791764,12696
48,9741250,9753964,12714
49,9717468,9732154,14686
50,9806024,9820716,14692
51,9858214,9872906,14692
52,9722994,9737684,14690
53,9696560,9711276,14716
54,9824088,9838832,14744
55,9728800,9743548,14748
56,9838476,9853240,14764
57,9833316,9850052,16736
58,9740794,9757496,16702
59,9787746,9804498,16752
60,9874374,9891112,16738
61,9701974,9718716,16742
62,9183018,9199756,16738
63,9256964,9273704,16740
64,9931732,9948564,16832
65,9427282,9446128,18846
66,9860038,9878866,18828
67,9764660,9783494,18834
68,9826992,9845794,18802
69,9773014,9791874,18860
70,9883646,9902512,18866
71,9771088,9789960,18872
72,9839042,9857926,18884
73,9818140,9839010,20870
74,9934372,9955240,20868
75,9791924,9812774,20850
76,9831844,9852686,20842
77,8709328,8730236,20908
78,9876806,9897708,20902
79,9878314,9899218,20904
80,8865952,8886876,20924
81,9869200,9892114,22914
82,9837358,9860282,22924
83,9838858,9861760,22902
84,9809476,9832364,22888
85,9891478,9914430,22952
86,9953424,9976384,22960
87,9815240,9838196,22956
88,9720724,9743690,22966
89,9834818,9859822,25004
90,9899978,9924970,24992
91,9835144,9860128,24984
92,9903010,9927970,24960
93,9934564,9959574,25010
94,9779882,9804880,24998
95,8728136,8753168,25032
96,9886950,9911954,25004
97,9830100,9857116,27016
98,9931586,9958584,26998
99,9781810,9808822,27012
100,9180402,9207412,27010
101,9766016,9793054,27038
102,9713708,9740752,27044
103,9890054,9917098,27044
104,9837242,9864306,27064
105,9716210,9745230,29020
106,9861056,9890084,29028
107,9867984,9896998,29014
108,9708366,9737392,29026
109,9750186,9779344,29158
110,9750538,9779616,29078
111,9762910,9792098,29188
112,9880610,9909992,29382
113,9978442,10009620,31178
114,9907234,9938308,31074
115,9865890,9896962,31072
116,9807770,9838840,31070
117,9234538,9265830,31292
118,9902142,9933334,31192
119,9829422,9860772,31350
120,9929730,9960962,31232
121,9946384,9979472,33088
122,9875490,9908578,33088
123,8811866,8844984,33118
124,9789144,9822290,33146
125,9838778,9872446,33668
126,9720336,9753960,33624
127,9443418,9477100,33682
128,9811812,9845336,33524
