"starting","ending"
8567814,8574838
8617742,8624756
8593614,8600638
8731406,8738422
8526834,8534210
8621592,8628970
8721284,8728662
8543088,8550698
9547552,9554948
9516032,9523416
8723164,8730560
8573422,8580804
8630414,8638096
8631954,8639650
8612734,8620444
10205588,10213220
9511212,9519076
8591986,8599618
8607906,8615780
8622908,8630804
8586802,8594820
8559314,8567450
8586218,8594218
8695198,8703218
8569598,8577848
8674670,8682718
8591796,8599964
8658726,8666976
8683118,8691518
8597512,8605836
8556664,8564992
8567370,8575748
8582498,8591088
8585830,8594268
8585754,8594506
8586576,8595266
8682818,8691538
8573154,8582408
8567788,8576572
8496592,8505810
8502002,8511112
8507240,8516352
8698366,8707536
8512070,8521132
9459424,9468682
8485674,8495136
8528130,8537488
8672514,8681938
8605984,8615506
8500210,8509794
8673210,8682736
8516016,8525658
8497454,8507226
8517800,8527578
8475538,8485366
8492696,8502414
8497498,8507344
8517602,8527624
8551486,8561550
8465734,8475668
8505856,8516116
8487614,8497868
8504120,8514362
8644434,8654656
8558954,8569990
8530242,8540882
8533046,8543750
8723792,8734448
8510592,8521418
8732446,8743304
8572508,8583494
8540162,8551084
8539116,8550426
8535208,8546450
8579898,8591516
8543858,8555276
8533620,8545066
8816158,8827538
8740846,8752288
9567500,9578834
8541578,8553390
8516218,8528020
8730896,8742540
8607082,8618812
8518860,8530756
8753090,8765124
8563670,8575782
8702662,8714836
8580000,8592162
8613798,8625862
8593436,8605468
8630232,8642358
8761054,8773290
8598914,8611376
8631804,8644034
8612618,8625310
8572964,8585662
8565954,8578626
8521530,8534284
9453798,9466508
8561200,8574422
8554336,8567118
8733412,8746462
8535070,8548010
8577374,8590698
8557192,8570434
8537422,8550750
8665526,8678886
8725770,8739144
8600946,8614480
8711056,8724680
8566168,8579600
8555486,8569498
8544320,8558350
8591354,8605440
8546086,8560126
8562138,8576436
8519412,8533762
8549312,8563264
8526212,8540214
9454338,9469180
8562986,8577382
8851886,8866036
8553762,8568134
9479142,9494026
9588634,9603276
8570724,8585620
8578518,8593198
