"starting","ending"
8611818,8618840
8639616,8646652
8727170,8734188
8598930,8605954
8624630,8632008
9603258,9610650
8626646,8634020
8633972,8641352
8536378,8543776
8577552,8584948
8733742,8741144
8598346,8605780
8629570,8637206
8645568,8653262
8709464,8717164
8603232,8610928
8597252,8604910
8572940,8580794
10137150,10144828
10206126,10213988
10091318,10099294
10106682,10114954
10132560,10140600
10235380,10243330
10099456,10107680
10136536,10144788
10111704,10119748
10190784,10199048
10226744,10235092
10109140,10117486
10115138,10123568
10140930,10149342
10121418,10130200
10104758,10113258
10122068,10130594
10092664,10101624
10117062,10125678
10104948,10113688
9183730,9192620
10195690,10204508
10161306,10170412
10139122,10148242
10130888,10140020
10095302,10104556
10152388,10161766
10072742,10081738
10103880,10113252
10104454,10113774
10098426,10107954
10122614,10132542
10131762,10141290
10098792,10108576
10166450,10176150
10118180,10127970
10104618,10114466
10101480,10111244
10085180,10095174
10071236,10081334
10159942,10170064
10160034,10170052
10116628,10126712
10126626,10136714
10205948,10215982
10130192,10140518
10229706,10240288
10184900,10195692
10163408,10174068
10203740,10214602
10181308,10191844
10145744,10156458
10165862,10176680
10262480,10273358
10157692,10168980
10176194,10187602
10272528,10283764
10164308,10175630
10255510,10267122
10190344,10201868
10210172,10221624
10201516,10212932
10138724,10150666
10224862,10236912
10165602,10177264
10189554,10201194
10170946,10182876
10210736,10222774
10214088,10226098
10142426,10154506
10301922,10313876
10150850,10162968
10276612,10288896
10170356,10182532
10181768,10194494
10184906,10197574
10263500,10275900
10267868,10280192
10189248,10201990
10167364,10180080
10246810,10259594
10200814,10213558
10174260,10187384
10193790,10206906
10228714,10241752
10166216,10179330
10177106,10190414
10139444,10152640
10237110,10250526
10259270,10272566
10151676,10165136
10146992,10160422
10184268,10197928
10240650,10254234
10153388,10167082
10184288,10197898
10176980,10191014
10155436,10169534
10170372,10184158
10172506,10186454
10150706,10164960
10164098,10178178
10211036,10225592
10137002,10151392
10183082,10197774
10222330,10236452
10260868,10275658
10187904,10202204
10175548,10189570
10121102,10135812
