"starting","ending"
271,10907,10636
271,10907,10636
271,10907,10636
271,10907,10636
271,10636,10365
271,10636,10365
271,10636,10365
271,10636,10365
271,10656,10385
271,10656,10385
271,10656,10385
271,10656,10385
271,10653,10382
271,10653,10382
271,10653,10382
271,10653,10382
271,10772,10501
271,10772,10501
271,10772,10501
271,10772,10501
271,10735,10464
271,10735,10464
271,10735,10464
271,10735,10464
271,10716,10445
271,10716,10445
271,10716,10445
271,10716,10445
271,10750,10479
271,10750,10479
271,10750,10479
271,10750,10479
271,10989,10718
271,10989,10718
271,10989,10718
271,10989,10718
271,11036,10765
271,11036,10765
271,11036,10765
271,11036,10765
271,11081,10810
271,11081,10810
271,11081,10810
271,11081,10810
271,11139,10868
271,11139,10868
271,11139,10868
271,11139,10868
271,11108,10837
271,11108,10837
271,11108,10837
271,11108,10837
271,11192,10921
271,11192,10921
271,11192,10921
271,11192,10921
271,11271,11000
271,11271,11000
271,11271,11000
271,11271,11000
271,11348,11077
271,11348,11077
271,11348,11077
271,11348,11077
271,11429,11158
271,11429,11158
271,11429,11158
271,11429,11158
271,11485,11214
271,11485,11214
271,11485,11214
271,11485,11214
271,11498,11227
271,11498,11227
271,11498,11227
271,11498,11227
271,11601,11330
271,11601,11330
271,11601,11330
271,11601,11330
271,11694,11423
271,11694,11423
271,11694,11423
271,11694,11423
271,11728,11457
271,11728,11457
271,11728,11457
271,11728,11457
271,11775,11504
271,11775,11504
271,11775,11504
271,11775,11504
271,11814,11543
271,11814,11543
271,11814,11543
271,11814,11543
271,12036,11765
271,12036,11765
271,12036,11765
271,12036,11765
271,12079,11808
271,12079,11808
271,12079,11808
271,12079,11808
271,12254,11983
271,12254,11983
271,12254,11983
271,12254,11983
271,12329,12058
271,12329,12058
271,12329,12058
271,12329,12058
271,12375,12104
271,12375,12104
271,12375,12104
271,12375,12104
271,12417,12146
271,12382,12111
271,12582,12311
271,12507,12236
271,12533,12262
271,12389,12118
271,12599,12328
271,12550,12279
271,12717,12446
271,12617,12346
271,12591,12320
271,12758,12487
