"starting","ending","total"
271,10907,10636
271,10907,10636
271,10907,10636
271,10907,10636
271,10636,10365
271,10636,10365
271,10636,10365
271,10636,10365
271,10656,10385
271,10656,10385
271,10656,10385
271,10656,10385
271,10653,10382
271,10653,10382
271,10653,10382
271,10653,10382
271,10785,10514
271,10785,10514
271,10785,10514
271,10785,10514
271,10726,10455
271,10726,10455
271,10726,10455
271,10726,10455
271,10731,10460
271,10731,10460
271,10731,10460
271,10731,10460
271,10750,10479
271,10750,10479
271,10750,10479
271,10750,10479
271,10964,10693
271,10964,10693
271,10964,10693
271,10964,10693
271,11057,10786
271,11057,10786
271,11057,10786
271,11057,10786
271,11083,10812
271,11083,10812
271,11083,10812
271,11083,10812
271,11105,10834
271,11105,10834
271,11105,10834
271,11105,10834
271,11094,10823
271,11094,10823
271,11094,10823
271,11094,10823
271,11234,10963
271,11234,10963
271,11234,10963
271,11234,10963
271,11301,11030
271,11301,11030
271,11301,11030
271,11301,11030
271,11334,11063
271,11334,11063
271,11334,11063
271,11334,11063
271,11389,11118
271,11389,11118
271,11389,11118
271,11389,11118
271,11501,11230
271,11501,11230
271,11501,11230
271,11501,11230
271,11517,11246
271,11517,11246
271,11517,11246
271,11517,11246
271,11608,11337
271,11608,11337
271,11608,11337
271,11608,11337
271,11675,11404
271,11675,11404
271,11675,11404
271,11675,11404
271,11744,11473
271,11744,11473
271,11744,11473
271,11744,11473
271,11750,11479
271,11750,11479
271,11750,11479
271,11750,11479
271,11854,11583
271,11854,11583
271,11854,11583
271,11854,11583
271,11981,11710
271,11981,11710
271,11981,11710
271,11981,11710
271,11974,11703
271,11974,11703
271,11974,11703
271,11974,11703
271,12186,11915
271,12186,11915
271,12186,11915
271,12186,11915
271,12242,11971
271,12242,11971
271,12242,11971
271,12242,11971
271,12253,11982
271,12253,11982
271,12253,11982
271,12445,12174
271,12526,12255
271,12526,12255
271,12533,12262
271,12533,12262
271,12503,12232
271,12631,12360
271,12550,12279
271,12498,12227
271,12501,12230
271,12525,12254
271,12644,12373
271,12442,12171
