"starting","ending"
271,11164,10893
271,11164,10893
271,11164,10893
271,11164,10893
271,10907,10636
271,10907,10636
271,10907,10636
271,10907,10636
271,10923,10652
271,10923,10652
271,10923,10652
271,10923,10652
271,10931,10660
271,10931,10660
271,10931,10660
271,10931,10660
271,10990,10719
271,10990,10719
271,10990,10719
271,10990,10719
271,10949,10678
271,10949,10678
271,10949,10678
271,10949,10678
271,10999,10728
271,10999,10728
271,10999,10728
271,10999,10728
271,10991,10720
271,10991,10720
271,10991,10720
271,10991,10720
271,11007,10736
271,11007,10736
271,11007,10736
271,11007,10736
271,11036,10765
271,11036,10765
271,11036,10765
271,11036,10765
271,11288,11017
271,11288,11017
271,11288,11017
271,11288,11017
271,11143,10872
271,11143,10872
271,11143,10872
271,11143,10872
271,11184,10913
271,11184,10913
271,11184,10913
271,11184,10913
271,11446,11175
271,11446,11175
271,11446,11175
271,11446,11175
271,11510,11239
271,11510,11239
271,11510,11239
271,11510,11239
271,11501,11230
271,11501,11230
271,11501,11230
271,11501,11230
271,11612,11341
271,11612,11341
271,11612,11341
271,11612,11341
271,11607,11336
271,11607,11336
271,11607,11336
271,11607,11336
271,11718,11447
271,11718,11447
271,11718,11447
271,11718,11447
271,11868,11597
271,11868,11597
271,11868,11597
271,11868,11597
271,11867,11596
271,11867,11596
271,11867,11596
271,11867,11596
271,11877,11606
271,11877,11606
271,11877,11606
271,11877,11606
271,11852,11581
271,11852,11581
271,11852,11581
271,11852,11581
271,11974,11703
271,11974,11703
271,11974,11703
271,11974,11703
271,11906,11635
271,11906,11635
271,11906,11635
271,11906,11635
271,12049,11778
271,12049,11778
271,12049,11778
271,12049,11778
271,12243,11972
271,12243,11972
271,12243,11972
271,12243,11972
271,12324,12053
271,12324,12053
271,12324,12053
271,12324,12053
271,12532,12261
271,12532,12261
271,12532,12261
271,12293,12022
271,12526,12255
271,12531,12260
271,12517,12246
271,12390,12119
271,12609,12338
271,12542,12271
271,12556,12285
271,12521,12250
271,12755,12484
271,12566,12295
271,12818,12547
271,12868,12597
