"starting","ending"
271,11164,10893
271,11164,10893
271,11164,10893
271,11164,10893
271,10905,10634
271,10905,10634
271,10905,10634
271,10905,10634
271,10917,10646
271,10917,10646
271,10917,10646
271,10917,10646
271,10938,10667
271,10938,10667
271,10938,10667
271,10938,10667
271,10898,10627
271,10898,10627
271,10898,10627
271,10898,10627
271,10970,10699
271,10970,10699
271,10970,10699
271,10970,10699
271,10959,10688
271,10959,10688
271,10959,10688
271,10959,10688
271,10967,10696
271,10967,10696
271,10967,10696
271,10967,10696
271,11015,10744
271,11015,10744
271,11015,10744
271,11015,10744
271,11074,10803
271,11074,10803
271,11074,10803
271,11074,10803
271,11282,11011
271,11282,11011
271,11282,11011
271,11282,11011
271,11341,11070
271,11341,11070
271,11341,11070
271,11341,11070
271,11396,11125
271,11396,11125
271,11396,11125
271,11396,11125
271,11175,10904
271,11175,10904
271,11175,10904
271,11175,10904
271,11449,11178
271,11449,11178
271,11449,11178
271,11449,11178
271,11530,11259
271,11530,11259
271,11530,11259
271,11530,11259
271,11680,11409
271,11680,11409
271,11680,11409
271,11680,11409
271,11742,11471
271,11742,11471
271,11742,11471
271,11742,11471
271,11686,11415
271,11686,11415
271,11686,11415
271,11686,11415
271,11631,11360
271,11631,11360
271,11631,11360
271,11631,11360
271,11860,11589
271,11860,11589
271,11860,11589
271,11860,11589
271,11874,11603
271,11874,11603
271,11874,11603
271,11874,11603
271,11877,11606
271,11877,11606
271,11877,11606
271,11877,11606
271,12021,11750
271,12021,11750
271,12021,11750
271,12021,11750
271,12092,11821
271,12092,11821
271,12092,11821
271,12092,11821
271,12184,11913
271,12184,11913
271,12184,11913
271,12184,11913
271,12242,11971
271,12242,11971
271,12242,11971
271,12242,11971
271,12277,12006
271,12277,12006
271,12277,12006
271,12277,12006
271,12493,12222
271,12493,12222
271,12493,12222
271,12404,12133
271,12602,12331
271,12602,12331
271,12511,12240
271,12511,12240
271,12624,12353
271,12679,12408
271,12414,12143
271,12518,12247
271,12659,12388
271,12602,12331
271,12589,12318
271,12746,12475
