"index","starting","ending","total"
1,923,85654,84731
2,923,85654,84731
3,923,85654,84731
4,923,85654,84731
5,926,85658,84732
6,926,85658,84732
7,926,85658,84732
8,926,85658,84732
9,941,85677,84736
10,941,85677,84736
11,941,85677,84736
12,941,85677,84736
13,961,85697,84736
14,961,85697,84736
15,961,85697,84736
16,961,85697,84736
17,978,86323,85345
18,978,86323,85345
19,978,86323,85345
20,978,86323,85345
21,998,86385,85387
22,998,86385,85387
23,998,86385,85387
24,998,86385,85387
25,1010,86560,85550
26,1010,86560,85550
27,1010,86560,85550
28,1010,86560,85550
29,1023,86474,85451
30,1023,86474,85451
31,1023,86474,85451
32,1023,86474,85451
33,976,86992,86016
34,976,86992,86016
35,976,86992,86016
36,976,86992,86016
37,1043,86823,85780
38,1043,86823,85780
39,1043,86823,85780
40,1043,86823,85780
41,1088,88183,87095
42,1088,88183,87095
43,1088,88183,87095
44,1088,88183,87095
45,1089,89275,88186
46,1089,89275,88186
47,1089,89275,88186
48,1089,89275,88186
49,1082,89000,87918
50,1082,89000,87918
51,1082,89000,87918
52,1082,89000,87918
53,1054,89441,88387
54,1054,89441,88387
55,1054,89441,88387
56,1054,89441,88387
57,1078,89838,88760
58,1078,89838,88760
59,1078,89838,88760
60,1078,89838,88760
61,1093,90297,89204
62,1093,90297,89204
63,1093,90297,89204
64,1093,90136,89043
65,1060,90539,89479
66,1060,90539,89479
67,1060,90539,89479
68,1060,90539,89479
69,1063,90747,89684
70,1063,90747,89684
71,1063,90747,89684
72,1063,90747,89684
73,1066,91169,90103
74,1066,91169,90103
75,1066,91169,90103
76,1066,91169,90103
77,1023,90873,89850
78,1023,90873,89850
79,1023,90873,89850
80,1023,90873,89850
81,1063,91392,90329
82,1063,91405,90342
83,1063,91405,90342
84,1063,91405,90342
85,1101,91830,90729
86,1101,91830,90729
87,1101,91830,90729
88,1101,91830,90729
89,1093,92325,91232
90,1093,92325,91232
91,1093,92409,91316
92,1093,92325,91232
93,1182,92689,91507
94,1182,92689,91507
95,1182,92689,91507
96,1182,92689,91507
97,1098,92708,91610
98,1098,92708,91610
99,1098,92708,91610
100,1098,92805,91707
101,1099,93742,92643
102,1099,93742,92643
103,1099,93742,92643
104,1099,93742,92643
105,1123,94167,93044
106,1123,94167,93044
107,1123,94340,93217
108,1123,94340,93217
109,1190,95051,93861
110,1190,95051,93861
111,1190,95051,93861
112,1190,95051,93861
113,1202,95600,94398
114,1202,95600,94398
115,1202,95600,94398
116,1202,95600,94398
117,1200,96082,94882
118,1200,96082,94882
119,1200,96082,94882
120,1200,96082,94882
121,1198,97028,95830
122,1198,97028,95830
123,1198,97028,95830
124,1198,97028,95830
125,1212,98051,96839
126,1212,98051,96839
127,1212,98051,96839
128,1212,98051,96839
