"index","total GPU","total sim"
1,18504,89141
2,18508,89141
3,18498,89141
4,18294,89141
5,18510,89146
6,18508,89146
7,18504,89146
8,18312,89146
9,18512,89146
10,18520,89146
11,18506,89146
12,18326,89146
13,18522,89365
14,18516,89365
15,18514,89368
16,18344,89368
17,18522,89248
18,18518,89248
19,18518,89248
20,18356,89248
21,18528,89200
22,18530,89200
23,18530,89210
24,18376,89235
25,18538,89241
26,18532,89241
27,18540,89241
28,18482,89241
29,18552,89845
30,18566,89845
31,18546,89845
32,18418,89845
33,18560,89611
34,18562,89522
35,18562,89436
36,18452,89522
37,18570,90491
38,18560,90491
39,18548,90491
40,18466,90491
41,18580,90529
42,18580,90529
43,18568,90529
44,18498,90529
45,18578,91329
46,18586,91329
47,18576,91329
48,18604,91329
49,18608,91895
50,18610,91895
51,18600,91895
52,18546,91895
53,18602,92582
54,18602,92582
55,18596,92582
56,18564,92582
57,18636,93445
58,18630,93445
59,18622,93445
60,18598,93445
61,18652,94591
62,18642,94591
63,18686,94591
64,18616,94591
65,18678,94389
66,18676,94389
67,18690,94389
68,18650,94389
69,18670,94317
70,18682,94317
71,18686,94317
72,18678,94317
73,21392,94257
74,21364,94257
75,21346,94257
76,20704,94257
77,21334,94715
78,21508,94715
79,21322,94715
80,20774,94715
81,23182,95622
82,22708,95622
83,23172,95622
84,22708,95622
85,23138,96280
86,23738,96280
87,23134,96280
88,22794,96280
89,24736,97242
90,24728,97242
91,24736,97242
92,24744,97242
93,24802,97508
94,24806,97508
95,24820,97508
96,24820,97508
97,26774,97731
98,26800,97731
99,26772,97731
100,26748,97731
101,26828,98361
102,26838,98361
103,26748,98361
104,26740,98361
105,28840,98865
106,28812,98865
107,28820,98865
108,28806,98865
109,28880,99723
110,28954,99723
111,28946,99723
112,29084,99723
113,30872,100730
114,30826,100730
115,30840,100730
116,30950,100730
117,31290,102044
118,31012,102044
119,31266,102044
120,30984,102044
121,32916,102968
122,32898,102968
123,32902,102968
124,33014,102968
125,33196,104003
126,33166,104003
127,33102,104003
128,33078,104003
129,18508,89238
130,18504,89238
131,18502,89238
132,18292,89238
133,18512,89244
134,18508,89244
135,18504,89244
136,18310,89244
137,18578,89247
138,18514,89247
139,18512,89247
140,18326,89247
141,18520,89381
142,18518,89381
143,18516,89381
144,18344,89381
145,18522,89664
146,18520,89664
147,18518,89664
148,18360,89664
149,18538,89528
150,18610,89528
151,18538,89528
152,18384,89528
153,18560,89302
154,18534,89302
155,18546,89302
156,18406,89302
157,18558,89620
158,18774,89620
159,18558,89620
160,18510,89620
161,18580,89987
162,18572,89735
163,18550,89968
164,18454,89735
165,20528,89906
166,20532,89906
167,20532,89906
168,20460,89906
169,23512,90064
170,23510,90064
171,23506,90064
172,23462,90064
173,24520,90536
174,24526,90536
175,24528,90536
176,24472,90536
177,27074,91188
178,27084,91188
179,27080,91188
180,27044,91188
181,28540,91981
182,28542,91981
183,28486,91981
184,28564,91981
185,30790,92659
186,30768,92659
187,30778,92659
188,30764,92659
189,32550,93289
190,32562,93289
191,32552,93289
192,32562,93289
193,34538,94288
194,34536,94288
195,34542,94288
196,34540,94288
197,36476,95362
198,36560,95362
199,36494,95362
200,36494,95362
201,38560,97523
202,38560,97523
203,38558,97523
204,38548,97523
205,40592,98361
206,40596,98361
207,40604,98361
208,40594,98361
209,43558,99798
210,43568,99798
211,43560,99798
212,43562,99798
213,44574,101821
214,44584,101821
215,44510,101821
216,44530,101821
217,46622,103103
218,46622,103103
219,46624,103103
220,46620,103103
221,48596,104999
222,48612,104999
223,48614,104999
224,48626,104999
225,51148,105023
226,51164,105023
227,51142,105023
228,51142,105023
229,52564,106695
230,52564,106695
231,52580,106695
232,52576,106695
233,54682,108885
234,54644,108885
235,54672,108885
236,54644,108885
237,56716,108385
238,56876,108385
239,56720,108385
240,56942,108385
241,58910,109603
242,58912,109603
243,58932,109603
244,58882,109603
245,60614,111423
246,60690,111423
247,60628,111423
248,60604,111423
249,62704,116896
250,62718,116896
251,62786,116896
252,62722,116896
253,64806,114612
254,64888,114612
255,65088,114612
256,64876,114612
257,9804,84731
258,9794,84731
259,9802,84731
260,9588,84731
261,9600,84732
262,9632,84732
263,9602,84732
264,9572,84732
265,9574,84736
266,9522,84736
267,9566,84736
268,9546,84736
269,9524,84736
270,9548,84736
271,9528,84736
272,9522,84736
273,9576,85345
274,9540,85345
275,9588,85345
276,9620,85345
277,9706,85387
278,9682,85387
279,9690,85387
280,9726,85387
281,9756,85550
282,9744,85550
283,9736,85550
284,9804,85550
285,9770,85451
286,9860,85451
287,9794,85451
288,9918,85451
289,10590,86016
290,10582,86016
291,10568,86016
292,10608,86016
293,10632,85780
294,10636,85780
295,10634,85780
296,10662,85780
297,12672,87095
298,12702,87095
299,12616,87095
300,12630,87095
301,12694,88186
302,12694,88186
303,12696,88186
304,12714,88186
305,14686,87918
306,14692,87918
307,14692,87918
308,14690,87918
309,14716,88387
310,14744,88387
311,14748,88387
312,14764,88387
313,16736,88760
314,16702,88760
315,16752,88760
316,16738,88760
317,16742,89204
318,16738,89204
319,16740,89204
320,16832,89043
321,18846,89479
322,18828,89479
323,18834,89479
324,18802,89479
325,18860,89684
326,18866,89684
327,18872,89684
328,18884,89684
329,20870,90103
330,20868,90103
331,20850,90103
332,20842,90103
333,20908,89850
334,20902,89850
335,20904,89850
336,20924,89850
337,22914,90329
338,22924,90342
339,22902,90342
340,22888,90342
341,22952,90729
342,22960,90729
343,22956,90729
344,22966,90729
345,25004,91232
346,24992,91232
347,24984,91316
348,24960,91232
349,25010,91507
350,24998,91507
351,25032,91507
352,25004,91507
353,27016,91610
354,26998,91610
355,27012,91610
356,27010,91707
357,27038,92643
358,27044,92643
359,27044,92643
360,27064,92643
361,29020,93044
362,29028,93044
363,29014,93217
364,29026,93217
365,29158,93861
366,29078,93861
367,29188,93861
368,29382,93861
369,31178,94398
370,31074,94398
371,31072,94398
372,31070,94398
373,31292,94882
374,31192,94882
375,31350,94882
376,31232,94882
377,33088,95830
378,33088,95830
379,33118,95830
380,33146,95830
381,33668,96839
382,33624,96839
383,33682,96839
384,33524,96839
